# q0(rad), q1(rad), q2(m), q3(rad), q4(rad), q5(rad), q6(placeholder)
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.26973333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.23800000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.20626667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.17453333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.14280000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.11106667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.07933333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.04760000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, -0.01586667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.01586667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.04760000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.07933333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.11106667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.14280000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.17453333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.20626667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.23800000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.26973333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.30146667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.33320000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.36493333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.39666667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.42840000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.46013333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.49186667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.52360000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.55533333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.58706667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.61880000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.65053333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.68226667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.71400000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.74573333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.77746667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.80920000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.84093333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.87266667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.90440000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.93613333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.96786667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 0.99960000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.03133333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.06306667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.09480000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.12653333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.15826667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.19000000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.22173333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.25346667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.28520000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.31693333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.34866667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.38040000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.41213333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.44386667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.47560000, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.50733333, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.53906667, 0.00000000
0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.00000000, 1.57080000, 0.00000000
